from_state,to_state,mean_transition_prob,std_transition_prob
0,0,0.6561305473455882,0.27683832653314416
0,1,0.015382452803170799,0.013524805313962846
0,2,0.08389058191246597,0.18634877463006974
0,3,0.24459641793877518,0.24531956386883622
1,0,0.27371302243950774,0.36409220107477275
1,1,0.010212765957454146,1.1874495201286636e-13
1,2,0.009437300549395632,0.00525648694266495
1,3,0.7066369110536426,0.363722740808373
2,0,0.0518191964674641,0.04951914229930043
2,1,0.00472464706628794,0.0024513186703084234
2,2,0.8177713954808864,0.028876642847353116
2,3,0.12568476098536147,0.049566497963023745
3,0,0.11431845835580194,0.2253393986850022
3,1,0.03079228008011039,0.03558921750830462
3,2,0.07668056341130147,0.19281226153526726
3,3,0.7782086981527863,0.32732891644266915
