K,state,USV22_mean_z,USV50_mean_z,LeverPress_mean_z,Freezing_mean_z,fear_elevated,goal_elevated,mixed_state,log_likelihood,interpretation
6,0,-0.275,1.164,-0.16,-0.346,False,True,False,1655132.7,goal
6,1,-0.275,-0.322,-0.16,-0.04,False,False,False,1655132.7,quiescent
6,2,3.569,3.052,-0.16,1.008,True,True,True,1655132.7,"high-arousal fear subdivision (USV22+USV50+freezing, no lever press)"
6,3,-0.238,-0.031,6.226,-0.127,False,True,False,1655132.7,goal
6,4,2.821,-0.322,-0.16,0.952,True,False,False,1655132.7,fear
6,5,-0.275,4.445,-0.16,-0.515,False,True,False,1655132.7,goal
8,0,-0.275,-0.322,-0.16,-0.083,False,False,False,1598671.9,quiescent
8,1,-0.238,-0.031,6.226,-0.127,False,True,False,1598671.9,goal
8,2,3.553,3.051,-0.16,1.012,True,True,True,1598671.9,"high-arousal fear subdivision (USV22+USV50+freezing, no lever press)"
8,3,-0.275,1.654,-0.16,-0.487,False,True,False,1598671.9,goal
8,4,-0.275,-0.322,-0.16,-0.072,False,False,False,1598671.9,quiescent
8,5,1.923,-0.322,-0.16,0.955,True,False,False,1598671.9,fear
8,6,-0.275,-0.322,-0.16,-0.661,False,False,False,1598671.9,quiescent
8,7,-0.275,2.96,-0.16,-0.324,False,True,False,1598671.9,goal
