state,channel,n_obs,actual_mean,actual_variance,actual_frac_zero,gaussian_log1p_pred_mean,gaussian_log1p_pred_var,gaussian_mean_rel_error,gaussian_var_rel_error,best_count_distribution,best_count_aic,count_model_pred_mean,count_model_pred_var,count_mean_rel_error,count_var_rel_error
0,usv22_call_count_5s,38417,0.0,0.0,1.0,1.598051269091627e-08,3.19610266253843e-08,,,Poisson,2.0000076834,1e-10,1e-10,,
0,usv50_call_count_5s,38417,0.0,0.0,1.0,2.4585881774896734e-08,4.917176641174506e-08,,,Poisson,2.0000076834,1e-10,1e-10,,
0,leverpress_count_5s,38417,0.0,0.0,1.0,1.6229881882878772e-09,3.2459761650675105e-09,,,Poisson,2.0000076834,1e-10,1e-10,,
1,usv22_call_count_5s,3746,0.0,0.0,1.0,1.0311253939576659e-07,2.0622513220050642e-07,,,Poisson,2.0000007492,1e-10,1e-10,,
1,usv50_call_count_5s,3746,2.4321943406300055,4.1984189435451205,0.0,1.5659115901515541,3.4542096628854866,-0.3561733271092392,-0.17725941376189291,NegBin,14245.966684490733,2.432196186185417,3.560856236187047,7.588026091401335e-07,-0.15185781026886258
1,leverpress_count_5s,3746,0.0,0.0,1.0,1.0472155587137877e-08,2.0944311612939923e-08,,,Poisson,2.0000007492,1e-10,1e-10,,
2,usv22_call_count_5s,3661,2.6050259491942094,2.1526543355735663,0.0,2.603018999327663,2.2033609260536267,-0.0007704145393128518,0.02355537981277879,Poisson,12859.460740403862,2.6050259491942094,2.6050259491942094,0.0,0.21014596080058082
2,usv50_call_count_5s,3661,1.7519803332422836,11.771865103136847,0.5938268232723299,1.5003189886682025,5.953312182774167,-0.14364393241124276,-0.49427621446428327,ZINB,11860.196905641415,1.7519769966519532,12.095262712751378,-1.9044679139159042e-06,0.0274720791294453
2,leverpress_count_5s,3661,0.0,0.0,1.0,1.618348854925955e-08,3.236697836818493e-08,,,Poisson,2.0000007322,1e-10,1e-10,,
3,usv22_call_count_5s,1180,0.03305084745762712,0.16246696351623097,0.9915254237288136,0.02315099796766562,0.021648503806359708,-0.2995339076449889,-0.8667513484721652,ZIP,161.0053449448091,0.033050807501020116,0.15801301395501408,-1.208943493913744e-06,-0.027414493782743268
3,usv50_call_count_5s,1180,0.2940677966101695,1.2567444699798906,0.9,0.22762197535569229,0.26746109437455784,-0.22595408956853927,-0.7871794141422898,ZINB,1218.0871654577259,0.29406798371464904,1.3375633495862287,6.362630715698759e-07,0.06430812431395162
3,leverpress_count_5s,1180,1.005084745762712,0.00505889112324045,0.0,1.0049613094759824,0.0033450866201984552,-0.00012281181984891807,-0.3387707822310722,Poisson,2370.2873092703585,1.005084745762712,1.005084745762712,0.0,197.67688813174323
