channel,state_1,state_2,jsd,jsd_squared
usv22_call_count_5s,0,1,0.0,0.0
usv22_call_count_5s,0,2,0.8325546111576978,0.6931471805599454
usv22_call_count_5s,0,3,0.05427780262949699,0.0029460798582866305
usv22_call_count_5s,1,2,0.8325546111576978,0.6931471805599454
usv22_call_count_5s,1,3,0.05427780262949699,0.0029460798582866305
usv22_call_count_5s,2,3,0.8195235619269954,0.6716188685535098
usv50_call_count_5s,0,1,0.8325546111576978,0.6931471805599454
usv50_call_count_5s,0,2,0.40857554655762923,0.16693397724486544
usv50_call_count_5s,0,3,0.18966748970276479,0.03597375665014839
usv50_call_count_5s,1,2,0.5490021329161903,0.30140334194652624
usv50_call_count_5s,1,3,0.7278319712587292,0.5297393783863676
usv50_call_count_5s,2,3,0.2696927677870105,0.07273418899661838
leverpress_count_5s,0,1,0.0,0.0
leverpress_count_5s,0,2,0.0,0.0
leverpress_count_5s,0,3,0.8325546111576977,0.6931471805599452
leverpress_count_5s,1,2,0.0,0.0
leverpress_count_5s,1,3,0.8325546111576977,0.6931471805599452
leverpress_count_5s,2,3,0.8325546111576977,0.6931471805599452
