state,channel,n_obs,n_bins,frac_zeros,mean,variance,vmr,aic_poisson_nz,aic_negbin_nz,aic_zip_nz,best_nz,aic_poisson_full,aic_negbin_full,aic_zip_full,aic_zinb_full,best_full,poisson_full_lambda,nb_full_r,nb_full_p,zip_full_pi,zip_full_lambda,zinb_full_pi,zinb_full_r,zinb_full_p
0,usv22_call_count_5s,38417,1,1.0,0.0,0.0,,,,,Poisson_nz,2.0000076834,4.000007683403842,4.0000000768323005,6.00000000000853,Poisson,1e-10,0.0001,0.999999,0.999999,1e-06,0.999999,0.0001,0.999999
0,usv50_call_count_5s,38417,1,1.0,0.0,0.0,,,,,Poisson_nz,2.0000076834,4.000007683403842,4.0000000768323005,6.00000000000853,Poisson,1e-10,0.0001,0.999999,0.999999,1e-06,0.999999,0.0001,0.999999
0,leverpress_count_5s,38417,1,1.0,0.0,0.0,,,,,Poisson_nz,2.0000076834,4.000007683403842,4.0000000768323005,6.00000000000853,Poisson,1e-10,0.0001,0.999999,0.999999,1e-06,0.999999,0.0001,0.999999
1,usv22_call_count_5s,3746,1,1.0,0.0,0.0,,,,,Poisson_nz,2.0000007492,4.000000749200375,4.000000007491835,6.000000000000831,Poisson,1e-10,0.0001,0.999999,0.999999,1e-06,0.999999,0.0001,0.999999
1,usv50_call_count_5s,3746,16,0.0,2.4321943406300055,4.1984189435451205,1.7261856396136561,14682.009661361813,14245.966684490733,14684.017170976731,NegBin_nz,14682.009661361813,14245.966684490733,14684.017170976731,14247.97417648122,NegBin,2.4321943406300055,5.241240077635729,0.6830368947413066,1e-06,2.4320874097992857,1e-06,5.2412651053393144,0.6830380933803695
1,leverpress_count_5s,3746,1,1.0,0.0,0.0,,,,,Poisson_nz,2.0000007492,4.000000749200375,4.000000007491835,6.000000000000831,Poisson,1e-10,0.0001,0.999999,0.999999,1e-06,0.999999,0.0001,0.999999
2,usv22_call_count_5s,3661,10,0.0,2.6050259491942094,2.1526543355735663,0.8263465998253986,12859.460740403862,12867.973045797522,12861.46806744048,Poisson_nz,12859.460740403862,12867.973045797522,12861.46806744048,12864.717481740576,Poisson,2.6050259491942094,259.644939635164,0.990066617621726,1e-06,2.6049661060243654,1e-06,1331.0237605358348,0.9980466583732138
2,usv50_call_count_5s,3661,28,0.5938268232723299,1.7519803332422836,11.771865103136847,6.719176511160585,9328.087730580079,7466.8131500363115,9330.090704581566,NegBin_nz,20885.803582495595,11878.214697843976,14234.295919019572,11860.196905641415,ZINB,1.7519803332422836,0.2584192572989821,0.12854136776370542,0.5879610102226427,4.251977524253292,0.3318932063008609,0.5209742659490242,0.16574249812342953
2,leverpress_count_5s,3661,1,1.0,0.0,0.0,,,,,Poisson_nz,2.0000007322,4.000000732200366,4.000000007321838,6.000000000000813,Poisson,1e-10,0.0001,0.999999,0.999999,1e-06,0.999999,0.0001,0.999999
3,usv22_call_count_5s,1180,7,0.9915254237288136,0.03305084745762712,0.16246696351623097,4.915667101260322,44.10352541853835,46.09026693426445,46.10354541854835,Poisson_nz,416.2169261268602,168.04914508381427,161.0053449448091,162.87163430484134,ZIP,0.03305084745762712,0.003721020944750606,0.10119254259833003,0.9913342614795189,3.813963163428693,0.9912337328987052,16.878142769043105,0.8174046838290931
3,usv50_call_count_5s,1180,11,0.9,0.2940677966101695,1.2567444699798906,4.27365554632931,500.06717016457344,487.840689411487,502.067406164871,NegBin_nz,2098.061224702441,1224.7465986235072,1255.1970101196848,1218.0871654577259,ZINB,0.2940677966101695,0.05957700813708653,0.16846602346390827,0.8931946905700348,2.753307223082337,0.8512605386922658,1.0598150378714621,0.34898121909328583
3,leverpress_count_5s,1180,2,0.0,1.005084745762712,0.00505889112324045,0.005033298082144798,2370.2873092703585,2384.105204823114,2372.289669271707,Poisson_nz,2370.2873092703585,2384.105204823114,2372.289669271707,2374.993711105914,Poisson,1.005084745762712,99.51835910762762,0.9900014831516758,1e-06,1.0050843658025193,1e-06,1675.7469006014985,0.9994005725116123
