study,session_name,stage,cs_category,state_0_frac,state_1_frac,state_2_frac,state_3_frac,n_bins
1a,contextual_test,test,no_CS,0.032407407407407406,0.8009259259259259,0.041666666666666664,0.125,432
1a,cue_test,test,CS+,0.22895622895622897,0.6582491582491582,0.04292929292929293,0.06986531986531987,1188
1a,generalization_5k,test,CS-,0.12345679012345678,0.683641975308642,0.04243827160493827,0.15046296296296297,1296
1a,generalization_7k,test,CS-,0.11188271604938271,0.8379629629629629,0.03780864197530864,0.012345679012345678,1296
1a,learning,acquisition,CS+,0.15899122807017543,0.7463450292397661,0.04239766081871345,0.05226608187134503,2736
1b,retest_contextual,test,no_CS,0.1597222222222222,0.7430555555555556,0.03009259259259259,0.06712962962962964,432
1b,retest_cue,test,CS+,0.3626543209876543,0.558641975308642,0.035493827160493825,0.043209876543209874,1296
2,LTM2,test,CS+,0.08783783783783784,0.7661411411411412,0.01951951951951952,0.1265015015015015,2664
2,extinction1,extinction,CS+,0.009364478114478115,0.876473063973064,0.016624579124579125,0.09753787878787878,9504
2,extinction2,extinction,CS+,0.06691919191919192,0.895021645021645,0.021284271284271284,0.016774891774891776,5544
2,extinction3,extinction,CS+,0.062388591800356503,0.8912655971479501,0.027926322043969103,0.0184194890077243,6732
2,extinction4,extinction,CS+,0.049910873440285206,0.9105763517528224,0.03431372549019608,0.005199049316696376,6732
2,learning,acquisition,CS+,0.13802889576883384,0.7843137254901961,0.007739938080495356,0.06991744066047471,3876
2,renewal,test,CS+,0.08050847457627118,0.4764595103578154,0.017419962335216574,0.4256120527306968,2124
2,retrieval,test,CS+,0.020833333333333332,0.6206597222222222,0.015625,0.3428819444444444,1152
