comparison,state,pearson_r,pearson_p,cosine_similarity,euclidean_distance,cohens_d_freezing_pct_5s,cohens_d_leverpress_count_5s,cohens_d_usv22_call_count_5s,cohens_d_usv50_call_count_5s,frobenius_norm
1a_vs_1b,0,0.9877829337271983,0.012217066272801613,0.9758069839908126,0.985163449717405,0.5094647909800045,,,-0.5131870189215072,1.4038830607363817
1a_vs_1b,1,0.9606684051062477,0.039331594893752264,0.6228731625461025,0.6645596403050437,0.09410050046662823,,,,1.4038830607363817
1a_vs_1b,2,0.8990094669720984,0.10099053302790173,0.4539267250602616,3.2659998860509236,-0.2836960030472903,,-0.06350899044142655,,1.4038830607363817
1a_vs_1b,3,0.9988575786721376,0.001142421327862353,0.9988541030632095,0.530104197639356,0.3433201005355222,-0.4523043717696904,0.10512335478710456,-0.8194786004503878,1.4038830607363817
1a_vs_2,0,0.9884148709808102,0.011585129019189733,0.9873674483872937,0.42945632255563954,0.38027977226621484,,,0.11760343231143186,0.2248240904754121
1a_vs_2,1,0.9371330357090535,0.06286696429094651,0.9866835393892681,0.12156395155107617,-0.17282255989544468,,,,0.2248240904754121
1a_vs_2,2,0.8238705898421709,0.17612941015782901,0.8664753343641282,1.8475781084872236,-0.11389935589936624,,0.35858136274829416,-0.8808125468705164,0.2248240904754121
1a_vs_2,3,0.9998135464843879,0.00018645351561197288,0.9998539624269278,1.8843930534659208,-0.056320624602593,-0.08041238946393796,-0.0076171866186816,0.1927737606010613,0.2248240904754121
1b_vs_2,0,0.9986205951759124,0.0013794048240876045,0.9943126064660784,1.1595630198799804,-0.11485071526844949,,,0.6268356418328355,1.459935065590677
1b_vs_2,1,0.8737935659178282,0.1262064340821718,0.6226039024411383,0.6713458475303345,-0.24447979853553703,,,,1.459935065590677
1b_vs_2,2,0.5075592840989664,0.49244071590103355,-0.00735367110423904,3.6904087294605024,0.1453078783000587,,0.42937142945378076,-0.8209178971917866,1.459935065590677
1b_vs_2,3,0.9989437869092407,0.001056213090759428,0.9989228594253056,1.4370777014799594,-0.3547093425802025,0.35723925919365573,-0.09246597176576975,1.255283663746471,1.459935065590677
1a_vs_global,0,0.9824771853953068,0.01752281460469307,0.962198877613231,0.8795694342394602,0.29175909014119156,,,-0.01032385012792458,0.22559529477037826
1a_vs_global,1,0.967590404622714,0.03240959537728605,0.9862538938407565,0.11018494524630623,-0.14615296578659295,,,,0.22559529477037826
1a_vs_global,2,0.8984970440680685,0.10150295593193137,0.9154118461421388,1.4550311977879353,-0.10062637303202274,,0.29647348654794164,-0.7605785579142827,0.22559529477037826
1a_vs_global,3,0.9998489228868066,0.00015107711319339856,0.9998788588732146,1.41110343281261,-0.025431121234600357,-0.0796561634791335,-0.001183041937826449,0.0704899075278351,0.22559529477037826
1b_vs_global,0,0.9970938529590307,0.0029061470409692536,0.9960922760910497,0.21817575616166404,-0.20408812933233256,,,0.4956461610196562,1.3807712713373839
1b_vs_global,1,0.9293742505457043,0.07062574945429567,0.68903097637572,0.6295990590140853,-0.22100490288412475,,,,1.3807712713373839
1b_vs_global,2,0.6277965506701794,0.37220344932982075,0.09317545594850693,3.5520754535763706,0.16151027336724963,,0.3644302483894951,-0.7162014477612298,1.3807712713373839
1b_vs_global,3,0.9992958660550495,0.0007041339449505024,0.999246622495407,0.9630205615559951,-0.3341187424320504,0.3605135818272461,-0.09054945241748844,1.0193222014521972,1.3807712713373839
2_vs_global,0,0.9993154105421828,0.0006845894578173528,0.9894762188371392,0.9989583449262455,-0.08975039738053002,,,-0.12268064402199927,0.3464759357956791
2_vs_global,1,0.9915858150696389,0.008414184930360946,0.9959582362313665,0.04401143244582437,0.02968347209821923,,,,0.3464759357956791
2_vs_global,2,0.9890396773109992,0.010960322689000712,0.9941220580339682,0.3942362595916343,0.014212895326711708,,-0.057299011222822056,0.1306082605516416,0.3464759357956791
2_vs_global,3,0.9999588301114745,4.116988852542747e-05,0.9999650470527174,0.47644002779230776,0.03141737847016815,-0.004103609559737695,0.006481413593657415,-0.10791814933087897,0.3464759357956791
