session_name,state_label,spearman_rho,spearman_pval,mean_subject_rho,n_subjects_with_var,significant,abs_rho,session_category
learning,Social/Appetitive,-0.9636363636363635,7.3209748095299185e-06,-0.6924433396099524,29,True,0.9636363636363635,conditioning
retrieval,Fear/Distress,0.9509918346667656,2.37836846477824e-05,0.7179533916462304,4,True,0.9509918346667656,test/retrieval
learning,Fear/Distress,0.937436866561092,6.212522229614878e-05,0.8351191391703946,21,True,0.937436866561092,conditioning
LTM2,Goal-Directed,-0.9300954818304988,9.596084056886826e-05,-0.47353265871156,17,True,0.9300954818304988,test/retrieval
learning,Goal-Directed,-0.9146511499786562,0.0002092087789509158,-0.3082065184279832,12,True,0.9146511499786562,conditioning
generalization_7k,Fear/Distress,0.9141792475183746,0.0002137492562433647,0.832981063221538,3,True,0.9141792475183746,generalization
cue_test,Social/Appetitive,-0.8924133096001623,0.0005138199647844678,-0.6135959187564886,10,True,0.8924133096001623,test/retrieval
retest_contextual,Quiescent,0.8814630383360936,0.0007468608372274938,0.404711662399549,10,True,0.8814630383360936,extinction
extinction4,Fear/Distress,0.8814630383360936,0.0007468608372274938,0.21625386051395262,10,True,0.8814630383360936,extinction
renewal,Goal-Directed,-0.8379092353041679,0.0024713611632489066,-0.5907153091112805,16,True,0.8379092353041679,test/retrieval
retest_cue,Social/Appetitive,-0.8328305948416885,0.002777889272300594,-0.5230845552854932,12,True,0.8328305948416885,test/retrieval
renewal,Social/Appetitive,-0.8303030303030302,0.002940227023279509,-0.4365591706427377,13,True,0.8303030303030302,test/retrieval
retrieval,Social/Appetitive,-0.8227533512074423,0.003465749500597923,-0.44029949655308137,7,True,0.8227533512074423,test/retrieval
extinction4,Goal-Directed,-0.8206724839680872,0.003621705638366573,-0.21469677279930402,17,True,0.8206724839680872,extinction
renewal,Fear/Distress,0.8181818181818182,0.003814920082550713,0.5436968165429726,11,True,0.8181818181818182,test/retrieval
contextual_test,Quiescent,0.7963562622208846,0.005836997302932197,0.421917110031023,12,True,0.7963562622208846,extinction
retest_cue,Quiescent,0.7963562622208846,0.005836997302932197,0.5007912703843641,12,True,0.7963562622208846,test/retrieval
cue_test,Fear/Distress,0.779199761307608,0.007888892938635227,0.6905697372432125,4,True,0.779199761307608,test/retrieval
extinction4,Quiescent,0.7696969696969697,0.009221952722215994,0.21882154009219812,17,True,0.7696969696969697,extinction
extinction1,Quiescent,0.7575757575757575,0.011143446799694208,0.2553747044528404,16,True,0.7575757575757575,extinction
generalization_5k,Fear/Distress,0.7531234192521683,0.011914859098813416,0.521626422922499,2,True,0.7531234192521683,generalization
retest_cue,Fear/Distress,0.7402521454763437,0.014354624477648778,0.38502639294612956,2,True,0.7402521454763437,test/retrieval
extinction1,Goal-Directed,-0.7212121212121211,0.01857315508946023,-0.2596077811412552,16,True,0.7212121212121211,extinction
extinction3,Fear/Distress,-0.7191012094028307,0.019088229989839226,-0.33005679081680317,7,True,0.7191012094028307,extinction
generalization_7k,Social/Appetitive,-0.7012325483169698,0.02385050232964144,-0.36927194851637785,12,True,0.7012325483169698,generalization
generalization_5k,Social/Appetitive,-0.6930123197952736,0.026292878178805112,-0.669397170949555,11,True,0.6930123197952736,generalization
extinction4,Social/Appetitive,-0.6848484848484848,0.028882797506732765,-0.41474633804984773,12,True,0.6848484848484848,extinction
contextual_test,Social/Appetitive,-0.6687619998624351,0.034485188623283695,-0.2851076288034213,11,True,0.6687619998624351,extinction
retest_contextual,Social/Appetitive,-0.6443798763008685,0.04431151432143619,-0.19424666407388316,12,True,0.6443798763008685,extinction
extinction3,Quiescent,0.6363636363636362,0.04791172612997544,0.4045262432653104,17,True,0.6363636363636362,extinction
retrieval,Quiescent,-0.6322217654272672,0.04984609950967957,0.20108590356024544,16,True,0.6322217654272672,test/retrieval
extinction2,Fear/Distress,-0.5896923870743754,0.07277136120108077,-0.4171298536326046,4,False,0.5896923870743754,extinction
LTM2,Fear/Distress,0.5835893219328621,0.07653771742823344,0.36302506173215565,8,False,0.5835893219328621,test/retrieval
generalization_5k,Quiescent,0.5757575757575757,0.08155281477260244,0.4738435312645108,12,False,0.5757575757575757,generalization
retest_cue,Goal-Directed,-0.4800568148193976,0.16025492314552428,-0.3235505534266121,12,False,0.4800568148193976,test/retrieval
LTM2,Social/Appetitive,-0.4787878787878787,0.16152292801745594,-0.5192891521588244,14,False,0.4787878787878787,test/retrieval
renewal,Quiescent,-0.4545454545454545,0.18690481034933196,0.05535732407919214,16,False,0.4545454545454545,test/retrieval
extinction1,Fear/Distress,-0.3939393939393939,0.25999776683488757,-0.11209661553998251,8,False,0.3939393939393939,extinction
learning,Quiescent,-0.3939393939393939,0.25999776683488757,-0.10491890673746619,29,False,0.3939393939393939,conditioning
extinction3,Social/Appetitive,-0.34545454545454546,0.3282265114713672,-0.3269460677336019,16,False,0.34545454545454546,extinction
extinction2,Quiescent,0.32826899358723494,0.35441832701832515,0.21108472993617441,14,False,0.32826899358723494,extinction
extinction2,Social/Appetitive,0.32218993815043423,0.3639270759675106,-0.22631280544007296,13,False,0.32218993815043423,extinction
generalization_5k,Goal-Directed,-0.28135740664340325,0.43098191942183434,-0.17091102106686287,12,False,0.28135740664340325,generalization
generalization_7k,Quiescent,-0.2606060606060606,0.46708905438634024,0.02861753857584637,12,False,0.2606060606060606,generalization
LTM2,Quiescent,0.23636363636363633,0.5108853175152003,0.26249491041334444,17,False,0.23636363636363633,test/retrieval
cue_test,Goal-Directed,-0.2317116246612596,0.5194792999574562,-0.2035902024176921,11,False,0.2317116246612596,test/retrieval
cue_test,Quiescent,-0.22424242424242422,0.5334005612725947,0.15359947153983394,11,False,0.22424242424242422,test/retrieval
retest_contextual,Goal-Directed,-0.2140872096444188,0.5525648702128984,-0.40015929022982916,12,False,0.2140872096444188,extinction
extinction2,Goal-Directed,0.16363636363636364,0.6514773427962428,-0.044272034900888046,14,False,0.16363636363636364,extinction
generalization_7k,Goal-Directed,-0.14770978917519928,0.683842812890721,-0.2920798371680933,12,False,0.14770978917519928,generalization
extinction3,Goal-Directed,-0.13939393939393938,0.7009318849100584,-0.20821958585069872,17,False,0.13939393939393938,extinction
contextual_test,Goal-Directed,0.07926976633148354,0.8276828935177833,-0.24458391920713665,12,False,0.07926976633148354,extinction
retrieval,Goal-Directed,0.06968868015165987,0.8482942034406975,-0.3964680528614247,16,False,0.06968868015165987,test/retrieval
extinction1,Social/Appetitive,0.0,1.0,-0.24809745279248369,8,False,0.0,extinction
contextual_test,Fear/Distress,,,,0,False,,extinction
retest_contextual,Fear/Distress,,,,0,False,,extinction
